Title,Max_price,Min_price,Min_price_plus,Publisher,Age_limit
Wuppo - Super Deluxe Edition,"R$ 89,99","R$ 17,99","R$ 17,99",SOEDESCO PUBLISHING,6+
Assassin’s Creed® Origins Gold Edition,"R$ 299,90","R$ 59,98","R$ 59,98",Ubisoft Entertainment,16+
Hidden Agenda,"R$ 39,90","R$ 19,95","R$ 19,95",Sony Interactive Entertainment,18+
Knowledge is Power,"R$ 49,50","R$ 24,75","R$ 24,75",Sony Interactive Entertainment,6+
Rapala Fishing: Pro Series,"R$ 99,50","R$ 24,87","R$ 24,87",GAMEMILL ENTERTAINMENT,6+
Yomawari: Midnight Shadows,"R$ 99,50","R$ 25,05","R$ 25,05","NIS America, Inc.",16+
The Metronomicon: Slay the Dance Floor - Deluxe,"R$ 133,90","R$ 36,36","R$ 26,78",AKUPARA GAMES,10+
ELEX,"R$ 199,99","R$ 33,99","R$ 29,99",THQ Nordic,14+
Gran Turismo Sport,"R$ 79,99","R$ 39,99","R$ 39,99",Sony Interactive Entertainment,6+
ARK: Survival Evolved Explorer’s Edition,"R$ 373,90","R$ 93,47","R$ 74,78",-,14+
Fallout 4: Game of the Year Edition,"R$ 249,90","R$ 44,97","R$ 44,97",Bethesda Softworks,18+
Blackguards 2,"R$ 99,50","R$ 20,87","R$ 20,87",Kalypso Media,14+
Marvel vs. Capcom: Infinite - Standard Edition,"R$ 179,99","R$ 44,99","R$ 44,99","Capcom U.S.A., Inc.",12+
Baja: Edge of Control HD,"R$ 119,90","R$ 17,98","R$ 17,98",THQ Nordic,6+
Planet of the Eyes,"R$ 41,50","R$ 8,30","R$ 8,30",-,12+
Ys VIII: Lacrimosa of DANA,"R$ 249,90","R$ 82,46","R$ 82,46","NIS America, Inc.",12+
Dead Alliance™,"R$ 149,99","R$ 22,49","R$ 22,49",Maximum Games,16+
Dead Alliance™: Multiplayer Edition,"R$ 104,90","R$ 12,52","R$ 12,52",Maximum Games,16+
RESIDENT EVIL REVELATIONS,"R$ 129,99","R$ 51,99","R$ 51,99","Capcom U.S.A., Inc.",16+
The Metronomicon: Slay the Dance Floor,"R$ 104,90","R$ 29,22","R$ 20,98",AKUPARA GAMES,10+
Agents of Mayhem,"R$ 99,50","R$ 14,92","R$ 14,92",Deep Silver,18+
Sonic Mania,"R$ 65,99","R$ 32,99","R$ 32,99","SEGA of America, Inc.",6+
Mega Man Legacy Collection 1 and 2 Combo Pack,"R$ 159,99","R$ 79,99","R$ 79,99","Capcom U.S.A., Inc.",6+
Sine Mora EX,"R$ 79,90","R$ 15,98","R$ 15,98",Handy Games GmbH,14+
Demetrios - The BIG Cynical Adventure,"R$ 53,90","R$ 5,39","R$ 5,39",-,12+
Sundered®: Eldritch Edition,"R$ 61,50","R$ 12,30","R$ 12,29",-,14+
That’s You!,"R$ 39,90","R$ 23,94","R$ 23,94",Sony Interactive Entertainment,12+
Crash Bandicoot™ N. Sane Trilogy,"R$ 179,50","R$ 74,95","R$ 74,95",Activision,6+
Pacote Familiar EA,"R$ 199,50","R$ 26,92","R$ 19,94",Electronic Arts Inc ,14+
ARK: Survival Evolved,"R$ 207,90","R$ 41,58","R$ 41,58",-,16+
DiRT 4,"R$ 124,50","R$ 20,78","R$ 20,78",Codemasters Inc.,6+
The Elder Scrolls Online,"R$ 83,50","R$ 33,40","R$ 33,40",Bethesda Softworks,14+
TEKKEN 7,"R$ 207,90","R$ 41,58","R$ 41,58",BANDAI NAMCO Entertainment America Inc.,12+
Injustice™ 2,"R$ 119,90","R$ 29,97","R$ 29,97",Warner Bros. Interactive,14+
Tango Fiesta,"R$ 53,90","R$ 10,78","R$ 10,78",MERGE GAMES,6+
The Surge,"R$ 99,50","R$ 20,87","R$ 19,89",Focus Home Interactive,16+
Birthdays the Beginning,"R$ 199,50","R$ 41,22","R$ 34,62","NIS America, Inc.",6+
Resident Evil™ Code: Veronica X,"R$ 79,90","R$ 31,25","R$ 31,25","Capcom U.S.A., Inc.",18+
Darksiders: Fury’s Collection - War and Death,"R$ 164,90","R$ 32,98","R$ 32,98",THQ Nordic,14+
Euro Fishing,"R$ 104,90","R$ 20,87","R$ 20,87",RAIL SIMULATOR.COM LTD,6+
Troll and I™,"R$ 124,90","R$ 18,73","R$ 18,73",Maximum Games,14+
Gem Smashers,"R$ 31,90","R$ 9,57","R$ 7,97",FUNBOX MEDIA LIMITED,6+
Sublevel Zero - Redux,"R$ 104,90","R$ 20,98","R$ 20,98",MERGE GAMES,0+
Ride 2,"R$ 149,90","R$ 14,95","R$ 14,95",Milestone,6+
Sniper Elite 4,"R$ 319,90","R$ 31,99","R$ 31,99",Rebellion,0+
Sniper Elite 4 Deluxe Edition,"R$ 373,90","R$ 37,39","R$ 37,39",Rebellion,18+
VR Ping Pong,"R$ 79,90","R$ 15,98","R$ 15,98",MERGE GAMES,0+
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 4 ROAD TO BORUTO,"R$ 207,90","R$ 51,97","R$ 51,97",BANDAI NAMCO Entertainment America Inc.,12+
Valentino Rossi The Game Compact,"R$ 53,90","R$ 10,78","R$ 10,78",Milestone,6+
RESIDENT EVIL 7 biohazard,"R$ 149,99","R$ 49,75","R$ 49,75","Capcom U.S.A., Inc.",16+
TALES OF BERSERIA,"R$ 249,99","R$ 25,05","R$ 25,05",BANDAI NAMCO Entertainment America Inc.,12+
2064: Read Only Memories,"R$ 104,90","R$ 20,98","R$ 15,73",-,18+
Darksiders Warmastered Edition,"R$ 99,50","R$ 19,90","R$ 19,90",THQ Nordic,14+
Killing Floor 2,"R$ 149,50","R$ 37,37","R$ 37,37",Tripwire Interactive,18+
Watch Dogs 2 - Gold Edition,"R$ 239,99","R$ 47,99","R$ 47,99",Ubisoft Entertainment,16+
Cartoon Network: Battle Crashers,"R$ 99,50","R$ 22,88","R$ 22,88",GAMEMILL ENTERTAINMENT,6+
DRAGON BALL XENOVERSE Super Bundle,"R$ 424,50","R$ 48,88","R$ 48,88",BANDAI NAMCO Entertainment America Inc.,10+
The Elder Scrolls V: Skyrim Special Edition,"R$ 132,00","R$ 46,20","R$ 46,20",Bethesda Softworks,18+
Big Buck Hunter Arcade,"R$ 99,50","R$ 24,87","R$ 24,87",GAMEMILL ENTERTAINMENT,16+
Battlefield™ 1,"R$ 78,99","R$ 11,84","R$ 11,84",Electronic Arts Inc ,16+
HoPiKo,"R$ 37,50","R$ 3,75","R$ 3,75",MERGE GAMES,6+
O Pacote Jackbox Party 3,"R$ 133,90","R$ 62,34","R$ 62,34",Jackbox Games,14+
Valentino Rossi The Game,"R$ 99,50","R$ 24,87","R$ 24,87",Milestone,6+
Virginia – Pacote de Edição Especial,"R$ 59,50","R$ 17,85","R$ 17,85",505 Games,16+
BioShock: The Collection,"R$ 248,90","R$ 41,58","R$ 41,58",2K,18+
Don’t Starve Together: Console Edition,"R$ 62,50","R$ 25,00","R$ 25,00",Klei Entertainment Inc.,0+
Jotun: Valhalla Edition,"R$ 45,90","R$ 9,18","R$ 9,17",-,12+
Livelock,"R$ 53,90","R$ 20,75","R$ 20,75",PERFECT WORLD ENTERTAINMENT INC.,12+
resident evil 4,"R$ 149,99","R$ 59,99","R$ 59,99","Capcom U.S.A., Inc.",18+
The Witcher 3: Wild Hunt – Complete Edition,"R$ 207,90","R$ 41,58","R$ 41,58",CD PROJEKT SA,16+
No Man’s Sky,"R$ 299,90","R$ 93,55","R$ 93,55",Hello Games Ltd,12+
Cast of the Seven Godsends – Redux ,"R$ 37,50","R$ 7,50","R$ 7,50",MERGE GAMES,0+
LEGO® Star Wars™: LEGO® Star Wars™: The Force Awakens de Luxo,"R$ 129,90","R$ 25,98","R$ 25,98",Warner Bros. Interactive,6+
Heart&Slash,"R$ 104,90","R$ 26,22","R$ 26,22",Badland Publishing,10+
RESIDENT EVIL 5,"R$ 149,99","R$ 59,99","R$ 59,99","Capcom U.S.A., Inc.",18+
Grand Kingdom,"R$ 124,90","R$ 24,98","R$ 24,98","NIS America, Inc.",12+
Umbrella Corps,"R$ 83,50","R$ 15,37","R$ 15,37","Capcom U.S.A., Inc.",16+
Umbrella Corps Deluxe Edition,"R$ 103,90","R$ 19,22","R$ 19,22","Capcom U.S.A., Inc.",16+
DOOM,"R$ 71,50","R$ 21,45","R$ 21,45",Bethesda Softworks,18+
UNCHARTED 4: A Thief’s End,"R$ 79,90","R$ 39,95",Free,Sony Interactive Entertainment,14+
"Invisible, Inc. Console Edition","R$ 104,90","R$ 26,22","R$ 26,22",Klei Entertainment Inc.,0+
Lichdom: Battlemage,"R$ 53,90","R$ 6,22","R$ 6,22",Maximum Games,14+
DARK SOULS™ III,"R$ 249,99","R$ 39,99","R$ 39,99",BANDAI NAMCO Entertainment America Inc.,14+
DiRT Rally,"R$ 199,50","R$ 24,87","R$ 24,87",Codemasters Inc.,6+
Resident Evil 6,"R$ 149,99","R$ 39,80","R$ 39,80","Capcom U.S.A., Inc.",16+
Sébastien Loeb Rally EVO,"R$ 99,50","R$ 19,90","R$ 16,70",Milestone,6+
Sheltered,"R$ 79,90","R$ 13,77","R$ 13,77",Team17 Digital Ltd.,12+
BEB: Super Mega Bundle,"R$ 104,90","R$ 20,98","R$ 10,49",-,10+
Blast ’Em Bunnies,"R$ 26,90","R$ 5,38","R$ 2,69",-,10+
Kholat,"R$ 104,90","R$ 26,22","R$ 15,73",-,12+
Heavy Rain,"R$ 99,99","R$ 32,99","R$ 32,99",Sony Interactive Entertainment,16+
Mortal Kombat XL,"R$ 119,99","R$ 35,99","R$ 35,99",Warner Bros. Interactive,18+
The Witch and the Hundred Knight: Revival Edition,"R$ 124,90","R$ 41,21","R$ 41,21","NIS America, Inc.",14+
Atualização de Rainbow Moon para PS4™,"R$ 40,50","R$ 12,60","R$ 12,60",EastAsiaSoft,10+
Rainbow Moon,"R$ 79,90","R$ 12,50","R$ 12,50",EastAsiaSoft,10+
Randal’s Monday,"R$ 74,90","R$ 22,47","R$ 18,72",-,16+
Street Fighter™ V,"R$ 71,50","R$ 28,60",Free,"Capcom U.S.A., Inc.",12+
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 4,"R$ 249,99","R$ 37,49","R$ 37,49",BANDAI NAMCO Entertainment America Inc.,12+
Albedo: Eyes From Outer Space,"R$ 79,90","R$ 15,98","R$ 15,98",MERGE GAMES,12+
LEGO® Marvel’s Avengers Edição de Luxo,"R$ 199,99","R$ 49,99","R$ 49,99",Warner Bros. Interactive,10+
Resident Evil 0,"R$ 83,50","R$ 20,87","R$ 20,87","Capcom U.S.A., Inc.",14+
Earth Defense Force 4.1: The Shadow of New Despair,"R$ 83,50","R$ 41,75","R$ 41,75",Marvelous USA (XSEED),16+
BEYOND: Two Souls™,"R$ 244,50","R$ 19,99","R$ 19,99",Sony Interactive Entertainment,18+
Resident Evil Revelations 2 Edição de Luxo,"R$ 129,99","R$ 51,99","R$ 51,99","Capcom U.S.A., Inc.",16+
Bloodborne™ Complete Edition Bundle,"R$ 125,50","R$ 53,96","R$ 53,96",Sony Interactive Entertainment,16+
Darksiders II Deathinitive Edition,"R$ 149,50","R$ 31,22","R$ 26,90",THQ Nordic,16+
MX vs. ATV Supercross Encore,"R$ 149,50","R$ 18,73","R$ 18,73",THQ Nordic,6+
Goosebumps: The Game,"R$ 79,90","R$ 19,97","R$ 19,97",GAMEMILL ENTERTAINMENT,10+
DISGAEA 5: ALLIANCE OF VENGEANCE,"R$ 149,50","R$ 62,45","R$ 62,45","NIS America, Inc.",14+
Xeodrifter,"R$ 53,90","R$ 10,78","R$ 5,39",-,6+
God of War III Remastered,"R$ 99,99","R$ 49,99","R$ 49,99",Sony Interactive Entertainment,18+
Whispering Willows,"R$ 66,90","R$ 12,97","R$ 10,37",LOOT™ Interactive,14+
Resident Evil,"R$ 83,50","R$ 20,87","R$ 20,87","Capcom U.S.A., Inc.",16+
Terraria: PS4™ Edition,"R$ 136,90","R$ 41,07","R$ 41,07",505 Games,12+
Battlefield 4™ Premium Edition,"R$ 158,99","R$ 23,84","R$ 23,84",Electronic Arts Inc ,16+
Flockers,"R$ 133,90","R$ 11,53","R$ 11,53",Team17 Digital Ltd.,16+
Metro 2033 Redux,"R$ 104,90","R$ 20,87","R$ 20,87",Deep Silver,18+
Plants vs. Zombies™ Garden Warfare,"R$ 99,50","R$ 19,90","R$ 19,90",Electronic Arts Inc ,10+
The Last Of Us™ Remastered ,"R$ 79,90","R$ 39,95","R$ 39,95",Sony Interactive Entertainment,16+
Don’t Starve: Console Edition,"R$ 79,90","R$ 15,62","R$ 15,62",Klei Entertainment Inc.,12+
LEGO® Marvel™ Super Heroes,"R$ 79,99","R$ 19,99","R$ 19,99",Warner Bros. Interactive,6+
Wreckfest - Complete Edition,"R$ 264,90","R$ 172,18","R$ 172,18",THQ Nordic,12+
Blaster Master Zero,"R$ 41,50","R$ 20,75","R$ 20,75",-,6+
Outbreak: Lost Hope,"R$ 69,90","R$ 34,95","R$ 27,96",Dead Drop Studios LLC,16+
MotoGP™20,"R$ 207,90","R$ 51,97","R$ 41,57",Milestone,6+
SnowRunner - Premium Edition,"R$ 289,90","R$ 173,94","R$ 173,94",Focus Home Interactive,6+
The Surge 1 and 2 - Dual Pack,"R$ 319,90","R$ 108,76","R$ 108,76",Focus Home Interactive,18+
"Conan Exiles – Complete Edition, maio de 2020","R$ 644,50","R$ 451,15","R$ 451,15",FUNCOM GMBH,18+
Sakura Wars Digital Deluxe Edition,"R$ 332,90","R$ 166,45","R$ 166,44","SEGA of America, Inc.",16+
Utawarerumono: Prelude to the Fallen,"R$ 249,90","R$ 149,94","R$ 149,94","NIS America, Inc.",18+
The Jackbox Party Trilogy 2.0,"R$ 364,90","R$ 182,45","R$ 182,45",Jackbox Games,14+
Kingdoms of Amalur: Re-Reckoning,"R$ 199,50","R$ 119,70","R$ 119,70",THQ Nordic,16+
Takotan,"R$ 53,90","R$ 26,95","R$ 26,95",EastAsiaSoft,6+
13 Sentinels: Aegis Rim,"R$ 299,90","R$ 149,95","R$ 149,95","SEGA of America, Inc.",12+
The Last of Us Part II,"R$ 279,90","R$ 139,95","R$ 139,95",Sony Interactive Entertainment,18+
The Last of Us Part II Digital Deluxe Edition,"R$ 384,50","R$ 219,16","R$ 219,16",Sony Interactive Entertainment,18+
Dance Collider,"R$ 104,90","R$ 52,45","R$ 41,96",EmergeWorlds PTY LTD,6+
The Elder Scrolls Online: Greymoor,"R$ 249,90","R$ 82,33","R$ 74,84",Bethesda Softworks,14+
The Elder Scrolls Online: Greymoor Collector’s Edition,"R$ 332,90","R$ 109,85","R$ 99,86",Bethesda Softworks,14+
F1 2020 - Deluxe Schumacher Edition,"R$ 289,90","R$ 86,97","R$ 86,97",Codemasters Inc.,0+
Blaster Master Zero 2,"R$ 41,50","R$ 20,75","R$ 20,75",-,6+
Edição Deluxe de Captain Tsubasa: Rise of New Champions,"R$ 454,90","R$ 211,74","R$ 211,74",BANDAI NAMCO Entertainment America Inc.,10+
Robozarro,"R$ 37,50","R$ 15,00","R$ 15,00",EastAsiaSoft,6+
Captain Tsubasa: Rise of New Champions,"R$ 299,90","R$ 149,95","R$ 149,95",BANDAI NAMCO Entertainment America Inc.,10+
FAIRY TAIL,"R$ 249,90","R$ 174,93","R$ 174,93",KOEI TECMO America,12+
void TRRLM(); //Void Terrarium,"R$ 103,90","R$ 62,34","R$ 62,34","NIS America, Inc.",12+
"Warhammer 40,000: Mechanicus","R$ 199,50","R$ 99,75","R$ 99,75",Kalypso Media,12+
Ghost of Tsushima,"R$ 299,90","R$ 200,93","R$ 200,93",Sony Interactive Entertainment,18+
Trine: Ultimate Collection,"R$ 207,90","R$ 62,37","R$ 62,37",Frozenbyte,12+
DASHBALL,"R$ 37,50","R$ 18,75","R$ 16,87",4 GLADIATORS,10+
Rock of Ages 3: Make and Break,"R$ 149,50","R$ 49,33","R$ 49,33",Modus Games LLC,12+
Remnant: From the Ashes – Complete Edition,"R$ 264,90","R$ 158,94","R$ 158,94",PERFECT WORLD ENTERTAINMENT INC.,16+
eFootball PES 2021 SEASON UPDATE ARSENAL EDITION,"R$ 254,90","R$ 65,96","R$ 65,96","Konami Digital Entertainment, Inc.",6+
eFootball PES 2021 SEASON UPDATE FC BARCELONA EDITION,"R$ 254,90","R$ 65,96","R$ 65,96","Konami Digital Entertainment, Inc.",6+
eFootball PES 2021 SEASON UPDATE FC BAYERN MÜNCHEN EDITION,"R$ 254,90","R$ 65,96","R$ 65,96","Konami Digital Entertainment, Inc.",6+
eFootball PES 2021 SEASON UPDATE JUVENTUS EDITION,"R$ 254,90","R$ 65,96","R$ 65,96","Konami Digital Entertainment, Inc.",6+
eFootball PES 2021 SEASON UPDATE MANCHESTER UNITED EDITION,"R$ 254,90","R$ 65,96","R$ 65,96","Konami Digital Entertainment, Inc.",6+
Black Desert: Conqueror Edition,"R$ 414,90","R$ 165,96","R$ 165,96",PEARL ABYSS,12+
Black Desert: Explorer Edition,"R$ 207,90","R$ 83,16","R$ 83,16",PEARL ABYSS,12+
Black Desert: Traveler Edition,"R$ 124,90","R$ 49,96","R$ 49,96",PEARL ABYSS,12+
Dragon Marked For Death,"R$ 214,90","R$ 128,94","R$ 128,94",-,14+
TY the Tasmanian Tiger HD,"R$ 159,90","R$ 105,53","R$ 105,53",KROME INTERACTIVE,10+
112th Seed,"R$ 26,90","R$ 13,45","R$ 13,45",EastAsiaSoft,6+
FINAL FANTASY CRYSTAL CHRONICLES Remastered Edition,"R$ 124,90","R$ 74,94","R$ 74,94",SQUARE ENIX CO. LTD.,12+
Skully,"R$ 149,50","R$ 44,85","R$ 44,85",Modus Games LLC,10+
DOOM Slayers Collection,"R$ 149,50","R$ 74,75","R$ 74,75",Bethesda Softworks,18+
Train Sim World® 2,"R$ 124,90","R$ 62,45","R$ 62,45",RAIL SIMULATOR.COM LTD,6+
Railway Empire - Complete Collection,"R$ 164,90","R$ 82,45","R$ 82,45",Kalypso Media,6+
VELOZES E FURIOSOS ENCRUZILHADA,"R$ 249,90","R$ 65,96","R$ 65,96",BANDAI NAMCO Entertainment America Inc.,14+
Zero Strain,"R$ 53,90","R$ 21,56","R$ 21,56",EastAsiaSoft,6+
Red Dead Redemption 2,"R$ 248,90","R$ 124,45","R$ 124,45",Rockstar Games,18+
Thief Simulator,"R$ 83,50","R$ 62,62","R$ 62,62",PLAYWAY S.A,6+
PGA TOUR 2K21,"R$ 249,90","R$ 82,46","R$ 82,46",2K,6+
New Super Lucky’s Tale,"R$ 164,90","R$ 115,43","R$ 98,94",PLAYFUL CORP.,6+
FUSER™ VIP Edition,"R$ 503,41","R$ 352,38","R$ 352,38","NC INTERACTIVE, LLC",10+
FUSER™,"R$ 298,90","R$ 149,45","R$ 149,45","NC INTERACTIVE, LLC",10+
The Walking Dead Onslaught: Digital Deluxe,"R$ 214,90","R$ 107,45","R$ 107,45","SURVIOS, INC",16+
Control Ultimate Edition,"R$ 214,90","R$ 107,45",Free,505 Games,16+
Necromunda: Underhive Wars,"R$ 214,90","R$ 85,96","R$ 85,96",Focus Home Interactive,16+
Motorbike Racing Bundle,"R$ 319,90","R$ 63,98","R$ 63,98",Milestone,6+
F1 2020,"R$ 249,90","R$ 74,97","R$ 74,97",Codemasters Inc.,6+
Bounty Battle,"R$ 124,50","R$ 43,57","R$ 43,57",MERGE GAMES,10+
WWE 2K Battlegrounds,"R$ 222,90","R$ 111,45","R$ 111,44",2K,12+
Outbreak: The Nightmare Chronicles,"R$ 69,90","R$ 34,95","R$ 27,96",Dead Drop Studios LLC,16+
Mafia: Definitive Edition,"R$ 164,90","R$ 123,67","R$ 123,67",2K,18+
Mafia: Trilogy,"R$ 249,90","R$ 162,43","R$ 162,43",2K,18+
Warface: Breakout – Edição Definitiva,"R$ 239,90","R$ 47,98","R$ 47,98",MY.COM,14+
Let’s Sing Queen,"R$ 214,90","R$ 139,68","R$ 139,68",Deep Silver,10+
G.I. Joe: Operation Blackout,"R$ 264,90","R$ 92,71","R$ 92,71",GAMEMILL ENTERTAINMENT,14+
Remothered: Broken Porcelain,"R$ 149,50","R$ 74,75","R$ 74,75",Modus Games LLC,18+
Dead by Daylight: Special Edition,"R$ 264,90","R$ 211,92","R$ 171,92",-,18+
The Jackbox Party Pack 7,"R$ 159,90","R$ 103,93","R$ 103,93",Jackbox Games,14+
Jurassic World Evolution: Edição Jurassic Park,"R$ 348,90","R$ 80,24","R$ 80,24",FRONTIER DEVELOPMENTS PLC,16+
Cobra Kai: The Karate Kid Saga Continues,"R$ 199,50","R$ 99,75","R$ 99,75",GAMEMILL ENTERTAINMENT,12+
Chronos: Before the Ashes,"R$ 149,50","R$ 104,65","R$ 104,65",THQ Nordic,12+
Macrotis: A Mother’s Journey,"R$ 64,50","R$ 32,25","R$ 32,25",EastAsiaSoft,6+
DOOM Eternal: Year One Pass (Standalone),"R$ 122,90","R$ 92,17","R$ 92,17",Bethesda Softworks,18+
Battlefield™ V Edição Definitiva,"R$ 298,90","R$ 74,72","R$ 74,72",Electronic Arts Inc ,16+
Outbreak,"R$ 53,90","R$ 26,95","R$ 21,56",Dead Drop Studios LLC,14+
Ghostrunner,"R$ 159,90","R$ 111,93","R$ 111,93",505 Games,18+
The Legend of Heroes: Trails of Cold Steel IV Digital Deluxe Edition,"R$ 429,90","R$ 322,42","R$ 322,42","NIS America, Inc.",12+
Just Dance® 2021,"R$ 229,90","R$ 137,94","R$ 137,94",Ubisoft Entertainment,6+
UNTURNED,"R$ 133,90","R$ 100,42","R$ 100,42",505 Games,14+
Santa’s Xmas Adventure,"R$ 44,50","R$ 13,35","R$ 11,12",FUNBOX MEDIA LIMITED,6+
Fishing Sim World: Bass Pro Shops Edition,"R$ 199,50","R$ 109,72","R$ 109,72",RAIL SIMULATOR.COM LTD,6+
Twin Mirror,"R$ 159,90","R$ 103,93","R$ 103,93",BANDAI NAMCO Entertainment America Inc.,16+
Söldner-X 2: Final Prototype Definitive Edition,"R$ 53,90","R$ 32,34","R$ 32,34",EastAsiaSoft,6+
Dying Light Anniversary Edition,"R$ 214,90","R$ 161,17","R$ 161,17",Warner Bros. Interactive,16+
Devil May Cry 5,"R$ 103,90","R$ 83,12","R$ 83,12","Capcom U.S.A., Inc.",16+
Let’s Sing 2021 - Platinum Edition,"R$ 399,90","R$ 259,93","R$ 259,93",Deep Silver,10+
Fantasy Friends,"R$ 159,90","R$ 79,95","R$ 63,96",Just for Games SAS,6+
"Pacote Assassin’s Creed®: Assassin’s Creed® Valhalla, Assassin’s Creed® Odyssey e Assassin’s Creed® Origins","R$ 664,90","R$ 265,96","R$ 265,96",Ubisoft Entertainment,18+
Rusty Spout Rescue Adventure,"R$ 53,90","R$ 26,25","R$ 18,75",7 RAVEN STUDIOS CO. LTD.,6+
Drunken Fist,"R$ 42,90","R$ 30,03","R$ 30,03",EastAsiaSoft,14+
Crystal Ortha,"R$ 79,90","R$ 59,92","R$ 55,92",KEMCO,10+
Morbid: The Seven Acolytes,"R$ 133,90","R$ 80,34","R$ 80,34",MERGE GAMES,14+
Fishing Sim World: Pro Tour + The Catch: Carp and Coarse,"R$ 187,90","R$ 93,95","R$ 93,95",RAIL SIMULATOR.COM LTD,6+
Teratopia,"R$ 79,90","R$ 39,95","R$ 39,95",EastAsiaSoft,16+
Ys IX: Monstrum Nox Digital Deluxe Edition,"R$ 399,90","R$ 319,92","R$ 319,92","NIS America, Inc.",12+
Project Starship X,"R$ 53,90","R$ 37,73","R$ 37,73",EastAsiaSoft,10+
Colossus Down,"R$ 94,90","R$ 75,92","R$ 71,17",-,16+
Jeopardy! PlayShow,"R$ 133,90","R$ 107,12","R$ 100,42",SONY PICTURES TELEVISION INC.,6+
DiRT Rally® PLUS PLAYSTATION®VR BUNDLE,"R$ 124,90","R$ 26,22","R$ 26,22",Codemasters Inc.,12+
Project CARS,"R$ 83,50","R$ 16,70","R$ 16,70",BANDAI NAMCO Entertainment America Inc.,6+
NASCAR Heat 5 - Ultimate Edition,"R$ 214,90","R$ 161,17","R$ 161,17",704Games Company,3+
The Catch: Carp and Coarse - Collector’s Edition,"R$ 187,90","R$ 122,13","R$ 122,13",RAIL SIMULATOR.COM LTD,6+
Secret Neighbor,"R$ 104,90","R$ 104,90","R$ 94,41",TINYBUILD LLC,6+
I Saw Black Clouds,"R$ 69,90","R$ 69,90","R$ 62,91",Wales Interactive,16+
Narita Boy,"R$ 133,90","R$ 133,90","R$ 120,51",Team17 Digital Ltd.,12+
NHL™ 21 Deluxe Edition,"R$ 338,90","R$ 122,00","R$ 122,00",Electronic Arts Inc ,10+
NHL™ 21 Great Eight Edition,"R$ 398,90","R$ 147,59","R$ 147,59",Electronic Arts Inc ,10+
UFC® 4 Edição Deluxe,"R$ 338,90","R$ 169,45","R$ 169,45",Electronic Arts Inc ,14+
Sid Meier’s Civilization VI,"R$ 249,90","R$ 62,47","R$ 62,47",2K,10+
Black Legend,"R$ 159,90","R$ 159,90","R$ 143,91",Warcave,16+
Paradise Lost,"R$ 79,90","R$ 79,90","R$ 63,92",All in! Games S.A.,14+
Atelier Firis: The Alchemist and the Mysterious Journey DX,"R$ 214,90","R$ 214,90","R$ 193,41",KOEI TECMO America,12+
